# File generated with https://github.com/funilrys/funceble
# Date of generation: Fri Nov 10 00:50:30 UTC 2017


Domain                                                                                               Status      Expiration Date   Source     HTTP Code  Analyse Date        
---------------------------------------------------------------------------------------------------- ----------- ----------------- ---------- ---------- -------------------------------
a.applovin.com                                                                                       ACTIVE      Unknown           NSLOOKUP   404        Fri Nov 10 00:50:31 UTC 2017
aax-us-east.amazon-adsystem.com                                                                      ACTIVE      Unknown           NSLOOKUP   404        Fri Nov 10 00:50:32 UTC 2017
aax-us-west.amazon-adsystem.com                                                                      ACTIVE      Unknown           NSLOOKUP   Unknown    Fri Nov 10 00:50:33 UTC 2017
adcontent.saymedia.com                                                                               ACTIVE      Unknown           NSLOOKUP   200        Fri Nov 10 00:50:34 UTC 2017
ad.doubleclick.net                                                                                   ACTIVE      Unknown           NSLOOKUP   301        Fri Nov 10 00:50:34 UTC 2017
ad-g.doubleclick.net                                                                                 ACTIVE      Unknown           NSLOOKUP   301        Fri Nov 10 00:50:35 UTC 2017
adimg3.search.naver.net                                                                              ACTIVE      Unknown           NSLOOKUP   200        Fri Nov 10 00:50:36 UTC 2017
adinfuse.com                                                                                         ACTIVE      28-jan-2018       WHOIS      301        Fri Nov 10 00:50:36 UTC 2017
ad.leadboltapps.net                                                                                  ACTIVE      Unknown           NSLOOKUP   200        Fri Nov 10 00:50:37 UTC 2017
ad.leadboltmobile.net                                                                                ACTIVE      Unknown           NSLOOKUP   200        Fri Nov 10 00:50:37 UTC 2017
admarvel.s3.amazonaws.com                                                                            ACTIVE      Unknown           NSLOOKUP   403        Fri Nov 10 00:50:38 UTC 2017
admicro1.vcmedia.vn                                                                                  ACTIVE      Unknown           NSLOOKUP   200        Fri Nov 10 00:50:39 UTC 2017
admin.vserv.mobi                                                                                     ACTIVE      Unknown           NSLOOKUP   302        Fri Nov 10 00:50:40 UTC 2017
ad.mo.doubleclick.net                                                                                ACTIVE      Unknown           NSLOOKUP   301        Fri Nov 10 00:50:40 UTC 2017
ads1.mojiva.com                                                                                      ACTIVE      Unknown           NSLOOKUP   Unknown    Fri Nov 10 00:50:43 UTC 2017
ads2.greystripe.com                                                                                  ACTIVE      Unknown           NSLOOKUP   204        Fri Nov 10 00:50:43 UTC 2017
ads2.mojiva.com                                                                                      ACTIVE      Unknown           NSLOOKUP   Unknown    Fri Nov 10 00:50:45 UTC 2017
ads3.mojiva.com                                                                                      ACTIVE      Unknown           NSLOOKUP   Unknown    Fri Nov 10 00:50:46 UTC 2017
ads4.mojiva.com                                                                                      ACTIVE      Unknown           NSLOOKUP   Unknown    Fri Nov 10 00:50:48 UTC 2017
ads5.mojiva.com                                                                                      ACTIVE      Unknown           NSLOOKUP   Unknown    Fri Nov 10 00:50:49 UTC 2017
ads.adadapted.com                                                                                    ACTIVE      Unknown           NSLOOKUP   404        Fri Nov 10 00:50:50 UTC 2017
ads.admarvel.com                                                                                     ACTIVE      Unknown           NSLOOKUP   403        Fri Nov 10 00:50:50 UTC 2017
ads.celtra.com                                                                                       ACTIVE      Unknown           NSLOOKUP   404        Fri Nov 10 00:50:51 UTC 2017
ads.flurry.com                                                                                       ACTIVE      Unknown           NSLOOKUP   404        Fri Nov 10 00:50:52 UTC 2017
ads.matomymobile.com                                                                                 ACTIVE      Unknown           NSLOOKUP   404        Fri Nov 10 00:50:53 UTC 2017
ads.mobclix.com                                                                                      ACTIVE      Unknown           NSLOOKUP   400        Fri Nov 10 00:50:54 UTC 2017
ads.mobilityware.com                                                                                 ACTIVE      Unknown           NSLOOKUP   200        Fri Nov 10 00:50:55 UTC 2017
ads.mopub.com                                                                                        ACTIVE      Unknown           NSLOOKUP   200        Fri Nov 10 00:50:56 UTC 2017
ads.mp.mydas.mobi                                                                                    ACTIVE      Unknown           NSLOOKUP   200        Fri Nov 10 00:50:56 UTC 2017
ads.saymedia.com                                                                                     ACTIVE      Unknown           NSLOOKUP   000        Fri Nov 10 00:50:58 UTC 2017
ads.vserv.mobi                                                                                       ACTIVE      Unknown           NSLOOKUP   200        Fri Nov 10 00:50:59 UTC 2017
adsx.greystripe.com                                                                                  ACTIVE      Unknown           NSLOOKUP   204        Fri Nov 10 00:51:00 UTC 2017
ads.xxxad.net                                                                                        ACTIVE      Unknown           NSLOOKUP   200        Fri Nov 10 00:51:01 UTC 2017
adtracker.inmobi.com                                                                                 ACTIVE      Unknown           NSLOOKUP   302        Fri Nov 10 00:51:01 UTC 2017
adultmoda.com                                                                                        ACTIVE      16-may-2020       WHOIS      000        Fri Nov 10 00:51:02 UTC 2017
ad.where.com                                                                                         ACTIVE      Unknown           NSLOOKUP   302        Fri Nov 10 00:51:02 UTC 2017
a.glcdn.co                                                                                           ACTIVE      Unknown           NSLOOKUP   404        Fri Nov 10 00:51:03 UTC 2017
aio.lp.mydas.mobi                                                                                    ACTIVE      Unknown           NSLOOKUP   200        Fri Nov 10 00:51:03 UTC 2017
akamai.smartadserver.com                                                                             ACTIVE      Unknown           NSLOOKUP   200        Fri Nov 10 00:51:04 UTC 2017
a.medialytics.com                                                                                    ACTIVE      Unknown           NSLOOKUP   000        Fri Nov 10 00:51:05 UTC 2017
analytics.localytics.com                                                                             ACTIVE      Unknown           NSLOOKUP   301        Fri Nov 10 00:51:06 UTC 2017
android.bcfads.com                                                                                   ACTIVE      Unknown           NSLOOKUP   403        Fri Nov 10 00:51:07 UTC 2017
android-sdk31.transpera.com                                                                          ACTIVE      Unknown           NSLOOKUP   Unknown    Fri Nov 10 00:51:08 UTC 2017
an.yandex.ru                                                                                         ACTIVE      Unknown           NSLOOKUP   404        Fri Nov 10 00:51:09 UTC 2017
aos.wall.youmi.net                                                                                   ACTIVE      Unknown           NSLOOKUP   Unknown    Fri Nov 10 00:51:11 UTC 2017
api.airpush.com                                                                                      ACTIVE      Unknown           NSLOOKUP   404        Fri Nov 10 00:51:11 UTC 2017
api.analytics.omgpop.com                                                                             ACTIVE      Unknown           NSLOOKUP   503        Fri Nov 10 00:51:12 UTC 2017
api.yp.com                                                                                           ACTIVE      Unknown           NSLOOKUP   404        Fri Nov 10 00:51:13 UTC 2017
applift.com                                                                                          ACTIVE      03-mar-2020       WHOIS      301        Fri Nov 10 00:51:13 UTC 2017
apps.mobilityware.com                                                                                ACTIVE      Unknown           NSLOOKUP   200        Fri Nov 10 00:51:15 UTC 2017
as.adfonic.net                                                                                       ACTIVE      Unknown           NSLOOKUP   302        Fri Nov 10 00:51:15 UTC 2017
asotrack1.fluentmobile.com                                                                           ACTIVE      Unknown           NSLOOKUP   200        Fri Nov 10 00:51:16 UTC 2017
assets.cntdy.mobi                                                                                    ACTIVE      Unknown           NSLOOKUP   Unknown    Fri Nov 10 00:51:18 UTC 2017
au.youmi.net                                                                                         ACTIVE      Unknown           NSLOOKUP   Unknown    Fri Nov 10 00:51:20 UTC 2017
a.vserv.mobi                                                                                         ACTIVE      Unknown           NSLOOKUP   Unknown    Fri Nov 10 00:51:21 UTC 2017
banners.bigmobileads.com                                                                             ACTIVE      Unknown           NSLOOKUP   403        Fri Nov 10 00:51:22 UTC 2017
bigmobileads.com                                                                                     ACTIVE      04-dec-2018       WHOIS      200        Fri Nov 10 00:51:23 UTC 2017
bo.jumptap.com                                                                                       ACTIVE      Unknown           NSLOOKUP   Unknown    Fri Nov 10 00:51:24 UTC 2017
bos-tapreq01.jumptap.com                                                                             ACTIVE      Unknown           NSLOOKUP   Unknown    Fri Nov 10 00:51:26 UTC 2017
bos-tapreq02.jumptap.com                                                                             ACTIVE      Unknown           NSLOOKUP   Unknown    Fri Nov 10 00:51:27 UTC 2017
