# File generated with https://github.com/funilrys/funceble
# Date of generation: Fri Oct 13 02:27:57 UTC 2017


Domain                                                                                               Status      HTTP Code  Analyse Date        
ads.jewishfriendfinder.com                                                                           ACTIVE      404        Fri Oct 13 02:36:20 UTC 2017
ads.jobsite.co.uk                                                                                    ACTIVE      400        Fri Oct 13 02:36:22 UTC 2017
ads.jpost.com                                                                                        ACTIVE      404        Fri Oct 13 02:36:22 UTC 2017
ads.kelbymediagroup.com                                                                              ACTIVE      403        Fri Oct 13 02:36:27 UTC 2017
ads.kinxxx.com                                                                                       ACTIVE      404        Fri Oct 13 02:36:29 UTC 2017
ads.lesbianpersonals.com                                                                             ACTIVE      404        Fri Oct 13 02:36:33 UTC 2017
ads.linuxfoundation.org                                                                              ACTIVE      410        Fri Oct 13 02:36:34 UTC 2017
ad.smartclip.net                                                                                     ACTIVE      403        Fri Oct 13 02:36:41 UTC 2017
adsmart.net                                                                                          ACTIVE      403        Fri Oct 13 02:36:44 UTC 2017
ads.moceanads.com                                                                                    ACTIVE      404        Fri Oct 13 02:36:51 UTC 2017
ads.nationalgeographic.com                                                                           ACTIVE      403        Fri Oct 13 02:36:57 UTC 2017
ads.newmedia.cz                                                                                      ACTIVE      404        Fri Oct 13 02:37:03 UTC 2017
ads.okcimg.com                                                                                       ACTIVE      404        Fri Oct 13 02:37:16 UTC 2017
ads.outpersonals.com                                                                                 ACTIVE      404        Fri Oct 13 02:37:24 UTC 2017
ads.passion.com                                                                                      ACTIVE      404        Fri Oct 13 02:37:27 UTC 2017
ads.psd2html.com                                                                                     ACTIVE      403        Fri Oct 13 02:37:43 UTC 2017
ads.pushplay.com                                                                                     ACTIVE      404        Fri Oct 13 02:37:44 UTC 2017
ads.rcs.it                                                                                           ACTIVE      403        Fri Oct 13 02:37:46 UTC 2017
adsrvr.org                                                                                           ACTIVE      404        Fri Oct 13 02:39:25 UTC 2017
ads.s3.sitepoint.com                                                                                 ACTIVE      403        Fri Oct 13 02:39:25 UTC 2017
ads.seniorfriendfinder.com                                                                           ACTIVE      404        Fri Oct 13 02:39:29 UTC 2017
ads.slim.com                                                                                         ACTIVE      404        Fri Oct 13 02:39:34 UTC 2017
ads.stackoverflow.com                                                                                ACTIVE      404        Fri Oct 13 02:39:38 UTC 2017
ads.themovienation.com                                                                               ACTIVE      404        Fri Oct 13 02:39:47 UTC 2017
ads.tripod.com                                                                                       ACTIVE      404        Fri Oct 13 02:39:53 UTC 2017
ads.tso.dennisnet.co.uk                                                                              ACTIVE      403        Fri Oct 13 02:39:59 UTC 2017
ads.ultimate-guitar.com                                                                              ACTIVE      403        Fri Oct 13 02:40:01 UTC 2017
ads.v3.com                                                                                           ACTIVE      403        Fri Oct 13 02:40:04 UTC 2017
ads.web.de                                                                                           ACTIVE      400        Fri Oct 13 02:40:13 UTC 2017
ads.webmasterpoint.org                                                                               ACTIVE      403        Fri Oct 13 02:40:14 UTC 2017
ads.wikia.nocookie.net                                                                               ACTIVE      403        Fri Oct 13 02:40:19 UTC 2017
