# File generated with https://github.com/funilrys/funceble
# Date of generation: Tue Jul 18 23:18:28 UTC 2017


Domain                                                                                               Status      Expiration Date   Source     Analyse Date        
---------------------------------------------------------------------------------------------------- ----------- ----------------- ---------- -------------------------------
adobe-acrobat-reader-upgrade.com                                                                     INACTIVE    Unknown           NSLOOKUP   Tue Jul 18 23:18:28 UTC 2017
adobe-update.org                                                                                     INACTIVE    Unknown           NSLOOKUP   Tue Jul 18 23:18:29 UTC 2017
adobe-updates.org                                                                                    INACTIVE    Unknown           NSLOOKUP   Tue Jul 18 23:18:29 UTC 2017
analytic-google.com                                                                                  ACTIVE      29-may-2018       WHOIS      Tue Jul 18 23:18:29 UTC 2017
apple-updates.com                                                                                    ACTIVE      31-aug-2017       WHOIS      Tue Jul 18 23:18:29 UTC 2017
at1antis.com                                                                                         INACTIVE    Unknown           NSLOOKUP   Tue Jul 18 23:18:30 UTC 2017
avast-clean.com                                                                                      INACTIVE    Unknown           NSLOOKUP   Tue Jul 18 23:18:30 UTC 2017
avast-downloads.com                                                                                  INACTIVE    Unknown           NSLOOKUP   Tue Jul 18 23:18:31 UTC 2017
blacksnake.com                                                                                       ACTIVE      15-jun-2018       WHOIS      Tue Jul 18 23:18:31 UTC 2017
carrer-trade.com                                                                                     INACTIVE    Unknown           NSLOOKUP   Tue Jul 18 23:18:31 UTC 2017
clix2themax.net                                                                                      INACTIVE    Unknown           NSLOOKUP   Tue Jul 18 23:18:32 UTC 2017
disney-movie.org                                                                                     ACTIVE      24-jul-2017       WHOIS      Tue Jul 18 23:18:32 UTC 2017
europcareer.com                                                                                      ACTIVE      01-apr-2018       WHOIS      Tue Jul 18 23:18:32 UTC 2017
flashplayer-adobe.com                                                                                ACTIVE      06-jan-2018       WHOIS      Tue Jul 18 23:18:32 UTC 2017
flashplayerindir.net                                                                                 INACTIVE    Unknown           NSLOOKUP   Tue Jul 18 23:18:33 UTC 2017
flashupdate.de                                                                                       INACTIVE    Unknown           NSLOOKUP   Tue Jul 18 23:18:33 UTC 2017
